"","ccode","population","exp.total","exp.consumption","exp.military","exp.military.wdi","order","exp.econaffairs","exp.environment","exp.housing","exp.health","exp.recreation","exp.education","exp.socprot","exp.genservices","ginv","revenues","gfinworth","gout","gemp","tariffs","soc.oldage","soc.survivors","soc.incap","soc.health","soc.family","soc.labmkt","soc.unempl","soc.housing","soc.other","soc.total","reg.prodmarket","reg.statecontrol","reg.pubown","reg.bizinvolve","reg.entbarrs","reg.startup","reg.barriers","reg.barriers.expl","reg.barriers.other","reg.soes","reg.commandreg","reg.pricecon","reg.permits","reg.complexreg","reg.commrules","reg.aburd.major","reg.aburd.sole","reg.legbarrs","reg.incumbents","reg.antitrustex","reg.tariffs","reg.directcontrols","reg.fdibarrs","reg.govnet","reg.netbarrs","reg.govsoes","reg.servbarrs","reg.forreg","reg.bartfacil","reg.prof.legal.reg","reg.prof.legal.entry","reg.prof.legal.entry.excl","reg.prof.legal.entry.edu","reg.prof.legal.entry.mem","reg.prof.legal.entry.quot","reg.prof.legal.conduct","reg.prof.legal.conduct.prices","reg.prof.legal.conduct.bizform","reg.prof.legal.conduct.adv","reg.prof.legal.conduct.coop","reg.prof.arch.reg","reg.prof.arch.entry","reg.prof.arch.entry.excl","reg.prof.arch.entry.edu","reg.prof.arch.entry.mem","reg.prof.arch.entry.quot","reg.prof.arch.conduct","reg.prof.arch.conduct.prices","reg.prof.arch.conduct.bizform","reg.prof.arch.conduct.adv","reg.prof.arch.conduct.coop","reg.prof.eng.reg","reg.prof.eng.entry","reg.prof.eng.entry.excl","reg.prof.eng.entry.edu","reg.prof.eng.entry.mem","reg.prof.eng.entry.quot","reg.prof.eng.conduct","reg.prof.eng.conduct.prices","reg.prof.eng.conduct.bizform","reg.prof.eng.conduct.adv","reg.prof.eng.conduct.coop","reg.prof.acc.reg","reg.prof.acc.entry","reg.prof.acc.entry.excl","reg.prof.acc.entry.edu","reg.prof.acc.entry.mem","reg.prof.acc.entry.quot","reg.prof.acc.conduct","reg.prof.acc.conduct.prices","reg.prof.acc.conduct.bizform","reg.prof.acc.conduct.adv","reg.prof.acc.conduct.coop","reg.ret.overall","reg.ret.reglic","reg.ret.largeo","reg.ret.protfirms","reg.ret.ophours","reg.ret.pricecon","reg.ret.promo","tax.supra.tot","tax.supra.inc","tax.supra.inc.indiv","tax.supra.inc.corp","tax.supra.inc.oth","tax.supra.ss","tax.supra.ss.workers","tax.supra.ss.emplr","tax.supra.ss.self","tax.supra.ss.oth","tax.supra.payroll","tax.supra.prop","tax.supra.prop.wealth","tax.supra.prop.estate","tax.supra.prop.ftrans","tax.supra.prop.nonrecur","tax.supra.prop.oth","tax.supra.gst","tax.supra.gst.xfer","tax.supra.gst.use","tax.supra.gst.oth","tax.supra.other","tax.fed.tot","tax.fed.inc","tax.fed.inc.indiv","tax.fed.inc.corp","tax.fed.inc.oth","tax.fed.ss","tax.fed.ss.workers","tax.fed.ss.emplr","tax.fed.ss.self","tax.fed.ss.oth","tax.fed.payroll","tax.fed.prop","tax.fed.prop.wealth","tax.fed.prop.estate","tax.fed.prop.ftrans","tax.fed.prop.nonrecur","tax.fed.prop.oth","tax.fed.gst","tax.fed.gst.xfer","tax.fed.gst.use","tax.fed.gst.oth","tax.fed.other","tax.state.tot","tax.state.inc","tax.state.inc.indiv","tax.state.inc.corp","tax.state.inc.oth","tax.state.ss","tax.state.ss.workers","tax.state.ss.emplr","tax.state.ss.self","tax.state.ss.oth","tax.state.payroll","tax.state.prop","tax.state.prop.wealth","tax.state.prop.estate","tax.state.prop.ftrans","tax.state.prop.nonrecur","tax.state.prop.oth","tax.state.gst","tax.state.gst.xfer","tax.state.gst.use","tax.state.gst.oth","tax.state.other","tax.local.tot","tax.local.inc","tax.local.inc.indiv","tax.local.inc.corp","tax.local.inc.oth","tax.local.ss","tax.local.ss.workers","tax.local.ss.emplr","tax.local.ss.self","tax.local.ss.oth","tax.local.payroll","tax.local.prop","tax.local.prop.wealth","tax.local.prop.estate","tax.local.prop.ftrans","tax.local.prop.nonrecur","tax.local.prop.oth","tax.local.gst","tax.local.gst.xfer","tax.local.gst.use","tax.local.gst.oth","tax.local.other","tax.socsec.tot","tax.socsec.inc","tax.socsec.inc.indiv","tax.socsec.inc.corp","tax.socsec.inc.oth","tax.socsec.ss","tax.socsec.ss.workers","tax.socsec.ss.emplr","tax.socsec.ss.self","tax.socsec.ss.oth","tax.socsec.payroll","tax.socsec.prop","tax.socsec.prop.wealth","tax.socsec.prop.estate","tax.socsec.prop.ftrans","tax.socsec.prop.nonrecur","tax.socsec.prop.oth","tax.socsec.gst","tax.socsec.gst.xfer","tax.socsec.gst.use","tax.socsec.gst.oth","tax.socsec.other","tax.all.tot","tax.all.inc","tax.all.inc.indiv","tax.all.inc.corp","tax.all.inc.oth","tax.all.ss","tax.all.ss.workers","tax.all.ss.emplr","tax.all.ss.self","tax.all.ss.oth","tax.all.payroll","tax.all.prop","tax.all.prop.wealth","tax.all.prop.estate","tax.all.prop.ftrans","tax.all.prop.nonrecur","tax.all.prop.oth","tax.all.gst","tax.all.gst.xfer","tax.all.gst.use","tax.all.gst.oth","tax.all.other","scode","country","polity2"
"1",2,322987045.3,38.18333333,14.19121615,3.536666667,3.196244613,2.063333333,3.416666667,0,0.543333333,8.873333333,0.253333333,6.18,7.936666667,5.376666667,3.226666667,33.39,-81.00666667,NA,15.51333333,1.673333333,6.416,0.661,1.505,14.049,0.642,0.105,0.198,0.26,0.797,24.634,1.5905634,2.7027779,3.0270834,2.3784723,1.5531635,1.4074074,0.51574892,0.26679546,0.76470238,2.9000001,2.1944444,2.5625,2,1.1319444,0.2638889,0.60000002,0.60000002,0.46666667,2.1201389,2.9000001,0,3,0.53359091,0.58333331,2.9937501,5.625,3.0222223,1.3419048,0.1875,1.4583334,1.6666667,3,3.6666667,0,0,1.25,0,2,3,0,0.75,0.75,0,3,0,0,0.75,0,0,3,0,0.79166663,0.83333331,0,3.3333333,0,0,0.75,0,0,3,0,1.25,1.75,3,4,0,0,0.75,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.239,10.354,8.551,1.803,0,0,NA,NA,NA,NA,0,0.111,0,0.111,0,0,0,0.774,0.774,0,0,0,5.074,2.167,1.896,0.272,0,0,NA,NA,NA,NA,0,0.11,0,0.026,0,0,0.02,2.796,2.379,0.417,0,0,3.694,0.223,0.169,0.055,0,0,NA,NA,NA,NA,0,2.609,0,0.002,0,0,0.026,0.861,0.613,0.248,0,0,6.229,0,NA,NA,NA,6.229,2.778,3.113,0.338,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,26.235,12.745,10.616,2.129,0,6.229,2.778,3.113,0.338,0,0,2.831,0,0.14,0,0,0.046,4.43,3.766,0.664,0,0,"USA","United States",10
"2",20,36117554.33,40.54333333,20.90216938,NA,1.200660161,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.78,39.31333333,-30.57333333,77.49,18.16666667,1.576666667,4.351,0.347,0.752,7.28,1.552,0.235,0.619,0.304,2.187,17.628,1.4248413,1.9195344,2.2132185,1.6258504,1.3438802,1.3163581,1.0111092,0.51840907,1.5038095,2.5999999,1.2976191,1.9540817,2,1.2853974,0.57079476,0,0.2,0.68965518,1.429885,0.64999998,0,0.58620691,1.0368181,1.9166666,2.95,3.75,3.7490742,1.8409524,1.1666666,3.2291667,4.0833335,6,4.3333335,6,0,2.375,0,2,3,4.5,3.2708335,3.9166667,6,3.6666667,6,0,2.625,1,2,3,4.5,2.5833333,4.1666665,6,4.6666665,6,0,1,4,0,0,0,3.5,4.25,6,5,6,0,2.75,0,2,3,6,2.4976189,5.6999998,0,3,2.2857144,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.447,9.602,7.184,2.085,0.333,1.186,0.491,0.695,0,0,0,0,NA,NA,NA,NA,NA,2.66,2.658,0.002,0,0,12.923,6.183,4.861,1.322,0,0.696,0.057,0.64,0,0,0.667,0.59,0.019,0.013,0.196,0.09,0,4.786,4.362,0.424,0,0,3.356,0,NA,NA,NA,0,NA,NA,NA,NA,0,3.264,0,0,0.05,0.364,0,0.058,0.006,0.052,0,0.034,2.951,0,NA,NA,NA,2.951,1.393,1.393,0.166,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,32.678,15.785,12.045,3.407,0.333,4.833,1.94,2.727,0.166,0,0.667,3.854,0.019,0.013,0.246,0.454,0,7.504,7.026,0.478,0,0.034,"CAN","Canada",10
"3",70,123322986,24.50333333,12.02838383,NA,0.574437325,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,24.07333333,-12.87,NA,NA,3.346666667,2.05,0.188,0.035,3.003,1.03,0.005,NA,0.896,0.475,7.682,1.9062263,2.0166087,2.5905092,1.4427084,2.1854842,2.4302468,1.5165861,1.3713864,1.6617857,2.95,0.54166669,2.34375,2.6666667,1.4092786,0.15189044,1.6,2.5999999,1.3666667,2.7169271,2.95,1.5,0.91203701,1.2427728,2.75,3.8341146,3.75,3.0907409,1.7592857,1.5642858,1.7083334,3.4166667,6,1.6666666,0,6,0,0,0,0,0,1.2083334,2.4166667,6,3.6666667,0,0,0,0,0,0,0,0.95833331,1.9166666,6,1.6666666,0,0,0,0,0,0,0,1.3333333,1.9166666,6,1.6666666,0,0,0.75,0,0,3,0,2.1095238,4.8000002,4,3,0,0.85714287,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.807,6.639,3.287,3.196,0.155,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,6.021,6.018,0.003,0,0.148,0.666,0,NA,NA,NA,0,NA,NA,NA,NA,0.379,0.121,0,0,0.044,0,0,0.131,0.024,0.108,0,0.035,0.252,0,NA,NA,NA,0,NA,NA,NA,NA,0,0.19,0,0,0.062,0,0,0.004,0.004,0,0,0.058,2.208,0,NA,NA,NA,2.208,NA,NA,NA,2.208,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,15.933,6.639,3.287,3.196,0.155,2.208,NA,NA,NA,2.208,0.379,0.311,0,0,0.106,0,0,6.156,6.045,0.111,0,0.241,"MEX","Mexico",8
"4",155,18216286.67,NA,13.59616693,NA,1.917319248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.463333333,NA,NA,2.34,3.517,0.823,1.001,4.876,1.701,0.163,0.457,0.797,0.388,13.722,1.5142038,2.0950522,2.2447917,1.9453125,2.0217474,1.1219137,0.42581168,0.17215909,0.67946428,2.4749999,1.5,2.390625,6,3.75,1.5,1.2,0.80000001,0.46666667,1.1933284,0,0,0.96250004,0.34431818,1.7916666,3.1133184,3.75,1.3657408,0.1,1.2589285,1.3541667,1.9583334,6,1.8333334,0,0,0.75,3,0,0,0,1.0833333,1.9166666,6,1.6666666,0,0,0.25,1,0,0,0,1.125,2,6,2,0,0,0.25,1,0,0,0,1.7083333,1.9166666,6,1.6666666,0,0,1.5,6,0,0,0,1,6,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.704,7.419,2.005,4.285,1.129,0.272,0.232,0.04,0,0,0,0.238,0,0.058,0.17,0,0,10.139,10.106,0.032,0,-0.363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.54,0,0,0,0,0,NA,NA,NA,NA,0,0.653,0,0,0,0,0,0.887,0.242,0.645,0,0,1.139,0,0,0,0,1.139,1.139,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,20.383,7.419,2.005,4.285,1.129,1.411,1.371,0.04,0,0,0,0.89,0,0.058,0.17,0,0,11.026,10.348,0.678,0,-0.363,"CHL","Chile",10
"5",200,65594428.33,43.75666667,18.67775159,2.183333333,1.813828678,2.07,3.07,0.793333333,0.466666667,7.55,0.68,5.286666667,16.63,5,2.58,38.56333333,-77.87,79.10333333,16.86666667,1.88,7.263,0.051,1.949,7.717,3.474,0.188,0.272,1.535,0.105,22.552,1.0840274,1.5711745,2.1371408,1.0052083,1.4854102,1.3561729,0.19549757,0.18322727,0.20776786,1.4,1.0416666,0.96875,4.6666665,2.4604745,0.25428241,0.80000001,0.2,0.60000002,0.63958335,0.34999999,0,1.9818965,0.36645454,0.66666669,0.96875,4.5,3.0685186,0.13428572,0.28125,0.79166663,0.83333331,3,0.33333334,0,0,0.75,0,0,3,0,0.72916669,1.4583334,1.5,4.3333335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,3.5,6,2,6,0,0,0,0,0,0,1.7928572,3.9000001,6,0,0,0.85714287,0,0.163,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0.001,0.001,0,0,0,24.397,11.332,8.908,2.425,0,0,NA,NA,NA,NA,0,2.459,0,0.234,0.727,0,0,10.606,10.213,0.393,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.58,0,0,0,0,0,NA,NA,NA,NA,0,1.58,0,0,0,0.008,0,0,0,0,0,0,6.017,0,0,0,0,6.017,2.345,3.507,0.165,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,32.156,11.332,8.908,2.425,0,6.017,2.345,3.507,0.165,0,0,4.039,0,0.234,0.727,0.008,0,10.606,10.214,0.393,0,0,"UKG","United Kingdom",10
"6",205,4754893.333,35.74666667,12.21805748,0.396666667,0.328207104,1.313333333,3.12,0.52,0.703333333,7.026666667,0.72,4.493333333,11.94666667,5.44,1.836666667,31.95,-73.73666667,63.11333333,15.00666667,1.88,3.573,0.321,1.44,5.301,2.212,0.566,1.485,0.497,0.119,15.514,1.4542758,2.1243005,3.0506845,1.1979167,1.9767658,1.4870369,0.26176137,0.12852272,0.39499998,2.2,1.2083334,1.1875,5.3333335,3.3689816,1.4046296,1.4,0.2,0.7241379,1.0742786,0,0,2.4035714,0.25704545,3.8491666,2.498698,3.75,2.8611109,0.46857142,0.32142857,3.4791665,3.2083333,3,3.8333333,6,0,3.75,0,6,3,6,0.1875,0.375,1.5,0,0,0,0,0,0,0,0,0.1875,0.375,1.5,0,0,0,0,0,0,0,0,1.1458334,2.2916667,1.5,1.6666666,6,0,0,0,0,0,0,1.5333333,1.2,2,6,0,0,0,0.124,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,19.161,9.923,7.303,2.619,0.002,0.597,0.597,0,0,0,0.136,0.964,0.065,0.153,0.566,0,0,7.536,6.795,0.742,0,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.577,0,NA,NA,NA,0.048,0.048,0,0,0,0,0.529,0,0,0,0,0,0,NA,NA,NA,0,3.243,0,0,NA,NA,3.243,0.701,2.367,0.175,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,23.106,9.923,7.303,2.619,0.002,3.889,1.347,2.367,0.175,0,0.136,1.493,0.065,0.153,0.566,0,0,7.536,6.795,0.742,0,0.004,"IRE","Ireland",10
"7",210,17033844.33,45.93,24.63565355,1.133333333,1.151621804,1.88,3.993333333,1.48,0.436666667,8.116666667,1.463333333,5.41,16.81333333,5.13,3.17,43.69,-42.35333333,37.93,13.26666667,1.88,6.144,0.09,4.092,8.424,1.455,0.766,1.456,0.454,1.247,24.128,0.91503167,1.4332321,1.5115534,1.3549107,1.1937436,1.2475308,0.11811931,0.045613635,0.190625,1.9,1.5535715,1.15625,2,1.0779706,0.15594135,1.4,0,1.15,1.2557292,0,0,0.67241377,0.091227271,1.9738001,2.6171875,1.5,2.3425925,0.1,0.28125,2.7916667,4.0833335,6,4.3333335,6,0,1.5,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.125,3.5,3,5,6,0,0.75,0,0,3,0,0.91428572,1.2,0,0,2.5714285,1.7142857,0,0.446,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0.117,0.117,0,0,0,21.182,10.268,7.595,2.673,0,0,NA,NA,NA,NA,0,0.686,0,0.234,0.257,0,0,10.168,9.564,0.604,0,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.404,0,0,0,0,0,NA,NA,NA,NA,0,0.73,0,0,0,0,0,0.674,0.036,0.638,0,0,13.975,0,0,0,0,13.975,6.987,5.016,1.971,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,37.007,10.268,7.595,2.673,0,13.975,6.987,5.016,1.971,0,0,1.416,0,0.234,0.257,0,0,10.96,9.717,1.243,0,0.06,"NTH","Netherlands",10
