"","X2307","X2325","X2612","X2615","X2625","X2634","X2654","X2708","X2709","X2726","X9201","X9203","X9204","X9205","X9206","X9207","X9208"
"2307",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2325",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2612",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2615",0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
"2625",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2634",0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"2654",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2708",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"2709",0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"2726",0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0
"9201",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9203",0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"9204",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9205",0,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0
"9206",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9207",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
